                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.52737,                0.33091,                 0.8796,                0.99979,                      1,                  0.995,                0.76343,                0.85449,                0.34251,                 1.0465,                0.00101,                0.00101,                0.00101
                     52,                0.52826,                 0.3327,                0.87904,                0.99979,                      1,                  0.995,                 0.7721,                 0.8422,                0.34206,                 1.0269,              0.0009902,              0.0009902,              0.0009902
                     53,                0.51985,                0.32733,                0.87759,                0.99978,                      1,                  0.995,                0.77144,                0.85898,                0.36093,                 1.0357,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.5205,                0.32564,                0.87698,                0.99978,                      1,                  0.995,                 0.7665,                0.85022,                0.35149,                 1.0154,              0.0009506,              0.0009506,              0.0009506
                     55,                0.51902,                0.32411,                0.87423,                0.99979,                      1,                  0.995,                0.76412,                0.86749,                0.35058,                  1.036,              0.0009308,              0.0009308,              0.0009308
                     56,                0.50598,                0.31494,                0.87181,                0.99974,                      1,                  0.995,                 0.7598,                 0.8718,                0.34766,                 1.0515,               0.000911,               0.000911,               0.000911
                     57,                0.52413,                0.32114,                0.87807,                0.99979,                      1,                  0.995,                0.76289,                0.87336,                0.35901,                 1.0438,              0.0008912,              0.0008912,              0.0008912
                     58,                0.49536,                0.31246,                0.87134,                0.99978,                      1,                  0.995,                0.76979,                0.85946,                0.34243,                 1.0309,              0.0008714,              0.0008714,              0.0008714
                     59,                0.51934,                0.31894,                0.87666,                0.99979,                      1,                  0.995,                0.76677,                0.87415,                0.35318,                 1.0321,              0.0008516,              0.0008516,              0.0008516
                     60,                0.50943,                0.31401,                0.87164,                0.99978,                      1,                  0.995,                0.75883,                0.87641,                0.34581,                 1.0357,              0.0008318,              0.0008318,              0.0008318
                     61,                0.49276,                0.30882,                0.87196,                0.99979,                      1,                  0.995,                0.76699,                0.87849,                0.35124,                 1.0385,               0.000812,               0.000812,               0.000812
                     62,                0.50423,                0.31045,                0.87065,                0.99979,                      1,                  0.995,                0.76666,                0.87535,                0.34321,                 1.0366,              0.0007922,              0.0007922,              0.0007922
                     63,                0.49907,                0.31115,                0.87193,                0.99979,                      1,                  0.995,                0.77148,                0.87829,                0.34058,                 1.0286,              0.0007724,              0.0007724,              0.0007724
                     64,                0.49801,                0.30961,                0.86852,                0.99979,                      1,                  0.995,                0.77265,                0.84734,                0.34508,                 1.0102,              0.0007526,              0.0007526,              0.0007526
                     65,                0.49955,                0.30618,                0.86977,                0.99979,                      1,                  0.995,                0.77682,                0.86291,                0.34316,                 1.0228,              0.0007328,              0.0007328,              0.0007328
                     66,                0.48542,                0.29951,                0.86751,                0.99976,                      1,                  0.995,                0.75817,                0.88078,                 0.3488,                 1.0266,               0.000713,               0.000713,               0.000713
                     67,                0.49012,                0.29923,                0.86606,                0.99977,                      1,                  0.995,                0.76172,                 0.8485,                0.33545,                 1.0177,              0.0006932,              0.0006932,              0.0006932
                     68,                0.48708,                0.30707,                0.86889,                0.99978,                      1,                  0.995,                0.75081,                0.88129,                0.34597,                 1.0316,              0.0006734,              0.0006734,              0.0006734
                     69,                0.48683,                0.29885,                0.87041,                0.99978,                      1,                  0.995,                0.76084,                0.88054,                0.34955,                 1.0248,              0.0006536,              0.0006536,              0.0006536
                     70,                0.48812,                0.30375,                0.86578,                0.99975,                      1,                  0.995,                0.75604,                0.87995,                 0.3516,                 1.0397,              0.0006338,              0.0006338,              0.0006338
                     71,                0.47332,                0.29365,                0.86373,                 0.9998,                      1,                  0.995,                0.75395,                0.88115,                 0.3458,                 1.0439,               0.000614,               0.000614,               0.000614
                     72,                0.47761,                0.29394,                0.86664,                0.99978,                      1,                  0.995,                0.75988,                0.85509,                0.33636,                 1.0233,              0.0005942,              0.0005942,              0.0005942
                     73,                0.48671,                0.29981,                0.86989,                0.99976,                      1,                  0.995,                0.75486,                0.89234,                0.34892,                 1.0396,              0.0005744,              0.0005744,              0.0005744
                     74,                0.47251,                0.29341,                0.86125,                0.99979,                      1,                  0.995,                 0.7693,                0.87151,                0.32999,                 1.0354,              0.0005546,              0.0005546,              0.0005546
                     75,                0.46327,                0.29119,                0.86442,                0.99979,                      1,                  0.995,                 0.7609,                0.85098,                0.33686,                 1.0227,              0.0005348,              0.0005348,              0.0005348
                     76,                0.47588,                 0.2965,                 0.8644,                0.99978,                      1,                  0.995,                0.76403,                0.86132,                 0.3418,                 1.0261,               0.000515,               0.000515,               0.000515
                     77,                0.46789,                0.28634,                0.86085,                0.99979,                      1,                  0.995,                0.76435,                0.85526,                0.33566,                 1.0226,              0.0004952,              0.0004952,              0.0004952
                     78,                0.46258,                0.28671,                0.86353,                 0.9965,                0.99671,                0.99444,                0.76407,                0.86495,                0.33666,                 1.0346,              0.0004754,              0.0004754,              0.0004754
                     79,                0.47482,                 0.2925,                0.86708,                0.99979,                      1,                  0.995,                0.77056,                0.84841,                0.33637,                 1.0197,              0.0004556,              0.0004556,              0.0004556
                     80,                0.46613,                0.28314,                0.86615,                 0.9965,                0.99671,                0.99342,                 0.7634,                0.86003,                0.33939,                 1.0336,              0.0004358,              0.0004358,              0.0004358
                     81,                0.44968,                0.27733,                0.86239,                0.99979,                      1,                  0.995,                0.76618,                 0.8356,                0.33581,                 1.0198,               0.000416,               0.000416,               0.000416
                     82,                0.45483,                0.28029,                 0.8596,                 0.9998,                      1,                  0.995,                0.77401,                0.84651,                0.33763,                 1.0244,              0.0003962,              0.0003962,              0.0003962
                     83,                0.45352,                0.28008,                0.85874,                 0.9998,                      1,                  0.995,                0.77964,                0.82608,                0.32726,                 1.0115,              0.0003764,              0.0003764,              0.0003764
                     84,                0.45718,                0.28194,                0.85979,                0.99979,                      1,                  0.995,                0.77411,                0.83976,                 0.3301,                 1.0157,              0.0003566,              0.0003566,              0.0003566
                     85,                0.44771,                0.28006,                0.85864,                0.99979,                      1,                  0.995,                0.77155,                0.83888,                 0.3268,                 1.0118,              0.0003368,              0.0003368,              0.0003368
                     86,                0.45556,                 0.2769,                0.86076,                0.99979,                      1,                  0.995,                0.76799,                0.86024,                0.33355,                 1.0237,               0.000317,               0.000317,               0.000317
                     87,                0.44084,                0.27257,                0.85733,                0.99978,                      1,                  0.995,                0.76995,                0.84988,                0.32616,                 1.0185,              0.0002972,              0.0002972,              0.0002972
                     88,                0.44249,                0.26957,                0.85462,                 0.9998,                      1,                  0.995,                0.77329,                0.85595,                0.32734,                 1.0209,              0.0002774,              0.0002774,              0.0002774
                     89,                0.44016,                0.26389,                0.85468,                0.99976,                      1,                  0.995,                0.77305,                0.84878,                0.32599,                 1.0162,              0.0002576,              0.0002576,              0.0002576
                     90,                0.44499,                0.27281,                0.85678,                0.99977,                      1,                  0.995,                0.77525,                0.84411,                0.32212,                 1.0152,              0.0002378,              0.0002378,              0.0002378
                     91,                0.32685,                0.19151,                0.80311,                 0.9998,                      1,                  0.995,                0.76768,                0.86276,                0.32707,                 1.0267,               0.000218,               0.000218,               0.000218
                     92,                0.32546,                0.18872,                0.80106,                0.99979,                      1,                  0.995,                0.76707,                0.86498,                0.33185,                 1.0173,              0.0001982,              0.0001982,              0.0001982
